AID,Mgtry,TagColor,TagNum,CllrSrN,Frequency,StartDateTime,StartDate,StartTime,StopDateTime,StopDate,StopTime,ExpectedBatteryLife_WorstCase,ExpectedBatteryLife_AverageCase
252,Medium,Orange,22,37105,161.629,03/11/2016 15:00,03/11/2016,15:00:00,03/12/2018 11:00,03/12/2018,11:00:00,N/A,N/A
254,Long,Yellow,25,37115,161.729,03/11/2016 17:00,03/11/2016,17:00:00,03/12/2018 11:00,03/12/2018,11:00:00,N/A,N/A
331,Long,Red,6,37119,161.77,03/14/2017 17:00,03/14/2017,17:00:00,03/12/2018 11:00,03/12/2018,11:00:00,N/A,N/A
318,Medium,Light Blue,7,100271,161.48,03/14/2017 13:00,03/14/2017,13:00:00,03/12/2018 11:00,03/12/2018,11:00:00,N/A,N/A
256,Medium,Purple,20,37121,161.79,03/11/2016 19:00,03/11/2016,19:00:00,03/16/2018 15:00,03/16/2018,15:00:00,N/A,N/A
334,Long,Light Blue,9,100280,160.86,03/14/2017 17:00,03/14/2017,17:00:00,03/30/2018 03:00,03/30/2018,03:00:00,N/A,N/A
124,Medium,Orange,65,36630,151.11,12/09/2017 17:00,12/09/2017,17:00:00,04/09/2018 09:00,04/09/2018,09:00:00,N/A,N/A
274,Medium,White,5,100173,161.06,03/14/2017 11:00,03/14/2017,11:00:00,04/21/2018 01:00,04/21/2018,01:00:00,N/A,N/A
367,N/A,Green,41,701440A,161.39,03/12/2018 11:00,03/12/2018,11:00:00,04/27/2018 09:00,04/27/2018,09:00:00,N/A,N/A
227,Medium,Yellow,4,100090,160.18,12/10/2017 01:00,12/10/2017,01:00:00,04/29/2018 01:00,04/29/2018,01:00:00,N/A,N/A
129,Long,Yellow,14,100208,161.4,03/12/2017 11:00,03/12/2017,11:00:00,05/23/2018 09:00,05/23/2018,09:00:00,N/A,N/A
219,Long,Orange,55,37112,161.669,03/11/2016 09:00,03/11/2016,09:00:00,06/16/2018 21:00,06/16/2018,21:00:00,N/A,N/A
358,Long,Pink,32,36643,151.194,11/05/2017 13:00,11/05/2017,13:00:00,07/11/2018 15:00,07/11/2018,15:00:00,N/A,N/A
318,Medium,Light Blue,7,701433A,161.27,03/12/2018 13:00,03/12/2018,13:00:00,07/17/2018 15:00,07/17/2018,15:00:00,N/A,N/A
370,Short,Pink,48,701436A,161.31,03/11/2018 15:00,03/11/2018,15:00:00,07/18/2018 09:00,07/18/2018,09:00:00,N/A,N/A
282,Long,Yellow,68,37056,151.942,03/12/2017 09:00,03/12/2017,09:00:00,09/03/2018 11:00,09/03/2018,11:00:00,N/A,N/A
417,Short,Purple,18,701427A,161.15,09/26/2018 11:00,09/26/2018,11:00:00,09/29/2018 17:00,09/29/2018,17:00:00,N/A,N/A
293,Long,Red,37,100194,161.26,03/13/2017 11:00,03/13/2017,11:00:00,10/13/2018 09:00,10/13/2018,09:00:00,N/A,N/A
346,Medium,Green,30,100139,160.67,11/05/2017 17:00,11/05/2017,17:00:00,10/30/2018 17:00,10/30/2018,17:00:00,N/A,N/A
411,Short,Purple,12,701448A,161.51,09/26/2018 09:00,09/26/2018,09:00:00,11/01/2018 03:00,11/01/2018,03:00:00,N/A,N/A
419,Short,Purple,20,100168,160.97,09/26/2018 15:00,09/26/2018,15:00:00,11/03/2018 07:00,11/03/2018,07:00:00,N/A,N/A
285,Long,Red,35,100191,161.24,03/12/2017 13:00,03/12/2017,13:00:00,11/11/2018 15:00,11/11/2018,15:00:00,N/A,N/A
336,Long,White,43,37059,161.809,03/14/2017 17:00,03/14/2017,17:00:00,11/21/2018 03:00,11/21/2018,03:00:00,N/A,N/A
230,Medium,Orange,62,36642,151.181,03/13/2017 09:00,03/13/2017,09:00:00,11/29/2018 13:00,11/29/2018,13:00:00,N/A,N/A
295,Medium,White,26,100270,161.46,03/13/2017 11:00,03/13/2017,11:00:00,12/04/2018 13:00,12/04/2018,13:00:00,N/A,N/A
251,Long,Yellow,53,36619,151.001,03/13/2017 15:00,03/13/2017,15:00:00,12/06/2018 07:00,12/06/2018,07:00:00,N/A,N/A
