Year,AID,MigratoryStrategy,SpringMS,SpringMSDate,SpringMSTime,SpringME,SpringMEDate,SpringMETime,FallMS,FallMSDate,FallMSTime,FallME,FallMEDate,FallMETime,Notes
2017,117,Long,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 1/28/2017
2017,119,Long,4/22/2017 13:00,4/22/2017,13:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 5/17/2017
2017,121,Long,5/1/2017 5:00,5/1/2017,5:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 5/26/2017
2017,124,Medium,5/10/2017 1:00,5/10/2017,1:00:00,5/22/2017 13:00,5/22/2017,13:00:00,10/21/2017 5:00,10/21/2017,5:00:00,10/30/2017 19:00,10/30/2017,19:00:00,
2017,129,Long,4/25/2017 3:00,4/25/2017,3:00:00,6/1/2017 15:00,6/1/2017,15:00:00,10/13/2017 5:00,10/13/2017,5:00:00,12/26/2017 19:00,12/26/2017,19:00:00,
2017,219,Long,5/6/2017 19:00,5/6/2017,19:00:00,5/22/2017 7:00,5/22/2017,7:00:00,11/17/2017 15:00,11/17/2017,15:00:00,12/26/2017 15:00,12/26/2017,15:00:00,
2017,221,Medium,5/8/2017 3:00,5/8/2017,3:00:00,5/31/2017 17:00,5/31/2017,17:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Never returned to Red Desert; remained in Red Canyon for the winter
2017,225,Long,4/10/2017 11:00,4/10/2017,11:00:00,5/15/2017 1:00,5/15/2017,1:00:00,11/2/2017 1:00,11/2/2017,1:00:00,11/23/2017 17:00,11/23/2017,17:00:00,
2017,227,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 4/9/2017
2017,230,Medium,5/15/2017 1:00,5/15/2017,1:00:00,5/21/2017 23:00,5/21/2017,23:00:00,10/5/2017 17:00,10/5/2017,17:00:00,10/12/2017 9:00,10/12/2017,9:00:00,
2017,233,Long,5/3/2017 9:00,5/3/2017,9:00:00,5/30/2017 5:00,5/30/2017,5:00:00,10/2/2017 5:00,10/2/2017,5:00:00,12/23/2017 3:00,12/23/2017,3:00:00,
2017,234,Short,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Resident; died in winter 2017; no migration data
2017,235,Long,5/2/2017 21:00,5/2/2017,21:00:00,6/5/2017 23:00,6/5/2017,23:00:00,10/21/2017 21:00,10/21/2017,21:00:00,11/23/2017 15:00,11/23/2017,15:00:00,
2017,239,Medium,4/30/2017 23:00,4/30/2017,23:00:00,5/9/2017 23:00,5/9/2017,23:00:00,10/8/2017 11:00,10/8/2017,11:00:00,10/13/2017 9:00,10/13/2017,9:00:00,
2017,241,Medium,5/8/2017 7:00,5/8/2017,7:00:00,5/16/2017 5:00,5/16/2017,5:00:00,10/8/2017 5:00,10/8/2017,5:00:00,10/12/2017 19:00,10/12/2017,19:00:00,
2017,244,Medium,5/31/2017 3:00,5/31/2017,3:00:00,7/2/2017 11:00,7/2/2017,11:00:00,9/29/2017 1:00,9/29/2017,1:00:00,10/17/2017 3:00,10/17/2017,3:00:00,
2017,248,Long,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 2/25/2017
2017,249,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 4/13/2017
2017,251,Long,4/9/2017 15:00,4/9/2017,15:00:00,6/2/2017 7:00,6/2/2017,7:00:00,10/3/2017 5:00,10/3/2017,5:00:00,10/21/2017 1:00,10/21/2017,1:00:00,
2017,252,Medium,5/5/2017 21:00,5/5/2017,21:00:00,5/14/2017 7:00,5/14/2017,7:00:00,12/6/2017 13:00,12/6/2017,13:00:00,12/12/2017 11:00,12/12/2017,11:00:00,
2017,254,Long,4/15/2017 5:00,4/15/2017,5:00:00,5/16/2017 19:00,5/16/2017,19:00:00,10/9/2017 19:00,10/9/2017,19:00:00,12/25/2017 1:00,12/25/2017,1:00:00,
2017,256,Medium,5/4/2017 19:00,5/4/2017,19:00:00,6/26/2017 15:00,6/26/2017,15:00:00,N/A,N/A,N/A,N/A,N/A,N/A,"Moved to Bluff Creek, SE of Lander - left summer range on 9/27/2017 and arrived on new winter range on 10/15/2017"
2017,257,Long,4/15/2017 9:00,4/15/2017,9:00:00,5/23/2017 21:00,5/23/2017,21:00:00,10/21/2017 9:00,10/21/2017,9:00:00,12/21/2017 9:00,12/21/2017,9:00:00,
2017,260,Long,4/11/2017 7:00,4/11/2017,7:00:00,6/14/2017 9:00,6/14/2017,9:00:00,11/5/2017 1:00,11/5/2017,1:00:00,12/3/2017 9:00,12/3/2017,9:00:00,
2017,262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 5/5/2017
2017,264,Short,5/30/2017 3:00,5/30/2017,3:00:00,6/3/2017 5:00,6/3/2017,5:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Died on 8/28/2017
2017,266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 4/14/2017
2017,268,Short,5/1/2017 3:00,5/1/2017,3:00:00,5/3/2017 1:00,5/3/2017,1:00:00,10/10/2017 5:00,10/10/2017,5:00:00,10/12/2017 19:00,10/12/2017,19:00:00,
2017,270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 3/15/2017
2017,272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 2/16/2017
